names,relative_mass,r,g,b,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z
Gaia DR3 3001468183198140800,0.3705218294199026,255,203,161,-168.5838960317605,-135.569943298753,-46.31097518403724,600.5176724035458,954.543389596472,-1432.7397178369315
Gaia DR3 4313545645245332864,1.1031312660063686,255,252,247,899.584867021287,903.9265690134309,57.88052826322064,-2380.5863373218476,528.5693243635587,5714.220030801388
Gaia DR3 4255077877498765696,0.8019743711418142,255,251,245,887.9746494892206,471.7005105851803,-25.710852059488545,7322.471046687687,-15708.015093730066,3138.3665602426922
Gaia DR3 670746696180987648,0.9695753568290024,255,242,229,-839.1311719825344,-325.24343848417055,431.23615166990294,-491.9532877442037,12287.714464800978,6448.885794585782
Gaia DR3 4096420376877032832,1.5273959546028786,0,0,255,2271.1057471419426,544.3414837470095,-64.01557935487614,5669.217921238024,-26720.372475623055,7283.818879724237
Gaia DR3 3416522621408031360,1.0117234355899738,228,234,255,-1242.3193965141172,-35.01583040991715,-132.37024437511567,6538.666801596958,-19253.43481449787,-48066.305825280186
Gaia DR3 460980974485934976,0.2451072075436293,255,192,140,-97.75993939787013,86.69381371256513,-1.7095817140604552,29071.877476932612,31051.817414581114,-8664.411906602172
Gaia DR3 965296893369855104,0.35735487364796564,0,0,255,-215.84628979840298,41.23469778165171,58.13683977717805,-10364.96326702898,-23417.318503360173,-25457.3169453965
Gaia DR3 2507972936192261632,0.28748524547863386,255,194,144,-81.62702402504561,32.96643446937062,-138.08011658795678,-43831.01181472417,-49200.629413513954,15235.632165450406
Gaia DR3 3016407556921872256,0.44691372054095685,255,193,142,-303.0234493627005,-179.5078624200834,-134.0595816413462,3965.9700062573697,-5050.895228305004,-111.35912479427382
Gaia DR3 5114000074535737216,0.30507965998836,0,0,255,-119.24349554816571,-52.02016352591964,-138.49370450712394,-5121.898990534552,-18316.87852722198,12364.846959641049
Gaia DR3 4091217212910201984,1.2105234308543433,0,0,255,1468.832054995985,308.2347745652714,-98.98552205227773,-9465.066769904466,35347.91895651035,-16932.42698479983
Gaia DR3 5900286983032022528,1.0896645426099139,255,247,238,859.7435209830564,-650.9196538854809,95.67771822185176,-11945.619834951638,-14431.77117039188,1386.988761872044
Gaia DR3 4069681937636687232,1.0935865021175184,255,233,215,1249.7124656605051,176.9380455419828,-18.336094969180152,-218.23237814965054,-5334.255056260413,-7422.5905802811885
Gaia DR3 6287276906627690496,0.31380655688186726,0,0,255,126.90862022511654,-101.43905322624956,124.26975738126714,-15056.192509633065,-43390.1474849286,-21204.700007647698
Gaia DR3 4053293304579636480,1.4147153068091853,222,230,255,2261.5646971383494,-238.1390392154538,-76.11526413626757,-3965.5564831220277,-28959.298867039906,-3544.12269080739
Gaia DR3 464624412425148416,1.1250897714879278,255,249,242,-1301.3066571733998,1174.9132741927372,40.665419486056415,10543.8758918745,10626.861857396165,-12678.198498260397
Gaia DR3 5353452988156132096,1.0434654105744796,0,0,255,356.36258364225677,-1282.1403436288738,97.8428872605553,-77610.81363087389,-20038.935781707405,12063.122790017127
Gaia DR3 3100313041590161536,1.5493582176538534,239,240,255,-973.5848765698012,-766.6399531286446,-80.58536955772865,1468.3763009862682,-323.62735367452154,-4330.599698779853
Gaia DR3 5254851637274716288,1.8868074068685592,255,233,215,792.0706546535614,-2873.1887414187377,-105.5361662185062,-138078.88525062744,-37287.71389214453,-4968.817091066866
Gaia DR3 5255157542014881664,1.4189411331119437,255,253,249,456.2803248782366,-1601.6612079336294,-59.47352559895103,-53822.515989690284,-14063.96282297091,-18144.407191290717
Gaia DR3 4049936869147243648,0.9796836370964053,255,243,232,1475.4695506926453,7.632080070776624,-114.33441002753523,-3057.643531729722,12286.626938534248,-28319.416563327242
Gaia DR3 4185354306086304128,0.35402539379392034,255,195,146,208.36217289973905,84.12549716018948,-40.372727387386114,1043.796201378721,-3158.2435914745006,3806.114059943379
Gaia DR3 6516053940285719424,0.5031977610165861,255,212,178,194.64480285588962,-54.50715921290236,-333.295792296796,-9284.257008090206,-12668.994114119163,-2462.337296151342
Gaia DR3 4426805337245080320,0.6640291740398305,255,229,208,420.10088000307906,116.84702718936107,385.76820392496796,-18107.03929898058,-10974.020711241305,21761.60809265111
Gaia DR3 4156270814771635712,1.6966477074670825,202,218,255,2577.34340759346,1079.8319259117645,-28.41347282411289,7532.49468381582,-20658.41874969552,-14654.892549646383
Gaia DR3 287116128493851520,1.4236528217531672,255,251,245,-1342.4748280864173,790.343050509874,407.5185008796392,-9518.190901167984,-14465.070291457298,-6978.95086150885
Gaia DR3 2828925843538552960,0.15519379186499754,0,0,255,2.4239104451313516,44.79096153978164,-35.307040460493454,-12468.18906063928,-7083.349880076582,-8248.349381647975
Gaia DR3 5232929024643687552,1.5399345997648095,242,242,255,680.373202661795,-1824.7798701738373,-301.81406131768796,-86802.68060590155,-28965.323743235564,-16846.09594490273
Gaia DR3 4099118818866514560,1.3664510745627496,255,238,224,1486.385090042493,496.59931889177676,-216.18437837183524,8084.341179530774,-22426.793064722777,10340.211699751735
Gaia DR3 6049385505691347712,0.2286460150404767,255,193,142,136.40731313948677,-15.956543834328969,43.13398022839358,-61.654223999979585,-16406.870719361086,-8394.001701114432
Gaia DR3 1971207096286675584,0.5047309379140745,0,0,255,3.044410955401376,353.77996610904785,-28.128663928335087,-4376.978679410388,-2074.5110463582487,-13538.607718748863
